Wall time,Step,Value
1675078482.6627932,1220,-105.22647857666016
1675078509.549549,3660,-106.1753921508789
1675078523.360008,4880,-106.2070541381836
1675078536.8699563,6100,-106.33515930175781
1675078611.184733,13420,-106.00975799560547
1675078624.1851075,14640,-106.07769012451172
1675078660.3675625,18300,-106.10021209716797
1675078672.7668602,19520,-106.25143432617188
1675078711.938446,23180,-106.17156982421875
1675078724.3350832,24400,-106.27935791015625
1675078736.7657864,25620,-106.35784912109375
1675078762.1647775,28060,-106.28363800048828
1675078774.8825,29280,-106.23612976074219
1675078811.7574964,32940,-106.38483428955078
1675078824.5764854,34160,-106.39522552490234
1675078849.4808176,36600,-106.33476257324219
1675078898.364874,41480,-106.38314819335938
1675078910.6842618,42700,-106.4346694946289
1675078935.5575945,45140,-106.2926025390625
1675078947.986756,46360,-106.31494140625
1675078960.9676712,47580,-106.2871322631836
1675078973.156643,48800,-106.44974517822266
1675078985.4703443,50020,-106.39557647705078
1675079072.0688038,58560,-106.44707489013672
1675079084.442698,59780,-106.4725112915039
1675079096.8158076,61000,-106.36182403564453
1675079121.6779466,63440,-106.2188949584961
1675079134.1083171,64660,-106.052001953125
1675079160.0603745,67100,-105.80192565917969
1675079173.0680742,68320,-105.71031188964844
1675079199.0819373,70760,-106.86457061767578
1675079236.2020693,74420,-106.9723892211914
1675079248.6442187,75640,-106.93607330322266
1675079261.2088091,76860,-106.92644500732422
1675079273.9562027,78080,-106.97005462646484
1675079298.8496485,80520,-106.93154907226562
1675079311.5106492,81740,-106.8318099975586
1675079323.629917,82960,-106.74156951904297
1675079336.1777313,84180,-106.70801544189453
1675079360.9590251,86620,-106.694580078125
1675079373.3973205,87840,-106.7490463256836
1675079448.8170505,95160,-106.34439086914062
1675079472.7437227,97600,-106.62445831298828
1675079485.3085923,98820,-106.50103759765625
1675079510.9739983,101260,-105.25395202636719
1675079523.4185963,102480,-104.91639709472656
1675079548.2083852,104920,-104.941650390625
1675079561.107747,106140,-104.98994445800781
1675079598.9690776,109800,-104.43157196044922
1675079612.098802,111020,-104.36376190185547
1675079674.2982864,117120,-103.93986511230469
1675079724.9837267,122000,-104.04395294189453
1675079737.4789274,123220,-104.21294403076172
1675079775.477382,126880,-104.39697265625
1675079814.5883749,130540,-104.31194305419922
1675079827.10801,131760,-104.26809692382812
