Wall time,Step,Value
1673431197.7493012,1442,-105.35358428955078
1673431218.8794913,3700,-179.95298767089844
1673431236.7293925,4903,-124.97142028808594
1673431252.0463212,6331,-93.6661376953125
1673431268.5626996,8006,-85.3013687133789
1673431283.676425,9211,-81.1908187866211
1673431314.5830648,12261,-149.97613525390625
1673431331.8460248,13447,-130.7276153564453
1673431352.4273872,15347,-118.43653106689453
1673431378.4757466,17603,-139.29954528808594
1673431396.146147,19270,-127.5408706665039
1673431413.0308495,20712,-118.40402221679688
1673431438.5021145,23553,-110.66425323486328
1673431466.4297364,25808,-102.82997131347656
1673431490.6645179,28052,-93.12962341308594
1673431514.1747034,30081,-91.2195816040039
1673431537.4062247,32090,-86.55387115478516
1673431550.583885,33311,-83.00316619873047
1673431580.8348098,36131,-77.75516510009766
1673431593.7409534,37331,-75.16606903076172
1673431613.8972573,39591,-71.90452575683594
1673431633.862513,40798,-70.7906494140625
1673431655.0945504,42828,-69.41156768798828
1673431667.989678,44013,-67.35175323486328
1673431689.7964911,46013,-63.8997688293457
1673431707.6766393,47688,-62.39348220825195
1673431720.4421177,48894,-54.485294342041016
1673431738.7741096,50794,-54.471004486083984
1673431763.8048913,53033,-54.88260269165039
1673431780.731963,54481,-53.736167907714844
1673431795.9709616,55891,-51.78689956665039
1673431807.3568912,57063,-30.808073043823242
1673431832.4630466,59541,-31.325605392456055
1673431850.4565861,61218,-32.17782211303711
1673431868.9800224,62662,-20.181123733520508
1673431885.2409456,64322,-20.69643783569336
1673431901.8965218,65758,-20.98067283630371
1673431914.3943846,66965,-22.158525466918945
1673431936.1299386,68947,-22.56988525390625
1673431951.438724,70395,-25.634044647216797
1673431968.4049442,71827,-24.69983673095703
1673431991.3014994,74081,-24.636249542236328
1673432008.232997,75530,-27.029645919799805
1673432023.0648758,76940,-28.15802764892578
1673432041.623726,78825,-27.742218017578125
1673432058.912533,80493,-28.94277000427246
1673432073.23734,81715,-30.007320404052734
1673432098.1785057,83954,-29.317371368408203
1673432110.8938315,85173,-31.117191314697266
1673432142.7566292,88240,-32.63170623779297
1673432156.1440592,89449,-30.975149154663086
1673432171.5261128,90897,-31.1409969329834
1673432188.622325,92343,-32.707794189453125
1673432213.2913904,94812,-32.78021240234375
1673432238.027454,97054,-32.75169372558594
1673432259.7658706,99084,-34.536800384521484
1673432283.11612,101324,-34.38105773925781
1673432298.0870008,102543,-35.87039566040039
1673432314.7781494,104216,-34.83213424682617
1673432331.3545575,105660,-36.053993225097656
1673432361.6507814,108500,-36.2517204284668
1673432382.880262,110523,-35.83372497558594
1673432398.5859563,111957,-35.8311653137207
1673432422.3228662,113985,-36.72358703613281
1673432439.0179725,115663,-36.34539794921875
1673432464.4895272,117918,-36.58464050292969
1673432485.8018234,119818,-36.75395584106445
1673432503.856402,121245,-34.2706184387207
1673432520.065141,122462,-35.3435173034668
1673432539.893177,124719,-36.468231201171875
1673432559.8442075,126166,-36.46561813354492
1673432575.3424165,127389,-35.53028106689453
1673432591.147406,128823,-36.46022033691406
1673432614.0594797,130852,-34.688602447509766
1673432634.422198,132510,-34.99699783325195
1673432658.3641856,134766,-34.69182586669922
1673432673.3507814,135961,-33.08610534667969
1673432686.5848038,137173,-33.028602600097656
1673432709.2841668,139199,-34.72500228881836
1673432733.4596977,141435,-34.18694305419922
1673432752.7175875,142881,-34.13768005371094
1673432778.014767,145117,-33.16461181640625
1673432791.5260842,146317,-32.56574249267578
1673432805.6737933,147541,-33.42873764038086
1673432824.8281012,149217,-31.835412979125977
1673432839.7595973,150653,-31.755905151367188
1673432857.9489768,152106,-32.809837341308594
1673432889.3735538,155171,-31.821395874023438
1673432920.383395,157428,-31.86471176147461
1673432936.7231636,158872,-32.73766326904297
1673432958.6191683,160902,-32.40254211425781
1673432975.1458802,162560,-32.92360305786133
1673432999.006467,164823,-32.768699645996094
1673433027.610946,166855,-33.14822769165039
1673433050.345181,168881,-32.564353942871094
1673433067.1117399,170521,-31.659929275512695
1673433085.130674,171971,-32.301876068115234
1673433121.6230643,175039,-30.404870986938477
1673433135.3134823,176258,-30.687576293945312
1673433152.4273567,178290,-31.77198028564453
1673433171.6885006,179506,-33.38771057128906
1673433184.651419,180718,-33.69774627685547
1673433198.0689316,181931,-33.13545608520508
1673433212.3216274,183153,-33.26647186279297
1673433226.254983,184374,-36.37409973144531
1673433244.4037952,185821,-35.69477081298828
1673433270.4870217,188293,-35.91439437866211
1673433294.9587886,190321,-35.99657440185547
1673433318.2610347,192349,-36.72459411621094
1673433332.0189874,193559,-37.29309844970703
1673433347.5106335,194765,-37.682586669921875
1673433361.2019513,195986,-38.53153991699219
1673433375.2637086,197430,-39.009830474853516
1673433398.9785028,199455,-39.3171501159668
1673433422.0812306,201941,-38.386863708496094
1673433449.258686,203842,-38.38260269165039
1673433474.2787576,205875,-38.9970703125
1673433490.6821928,207304,-39.71638107299805
1673433510.782504,209547,-39.19744873046875
1673433543.4700437,212034,-38.644832611083984
1673433560.4156404,213477,-39.09121322631836
1673433588.5850585,215731,-37.35154342651367
1673433621.2637644,218572,-38.39466094970703
1673433646.4333553,220816,-38.13063430786133
1673433663.8629572,222491,-37.34109878540039
1673433682.625477,224152,-35.71650695800781
1673433701.21119,226181,-35.3207893371582
1673433740.8781307,229022,-35.355411529541016
1673433760.105144,230698,-34.79425811767578
1673433786.1604834,233181,-32.027095794677734
1673433821.8488123,236248,-29.638378143310547
1673433843.3019013,238472,-29.523651123046875
1673433866.27458,240498,-29.324064254760742
1673433900.3592823,243565,-27.796737670898438
1673433925.186457,245238,-28.00848960876465
1673433943.1547663,246684,-27.650205612182617
1673433956.8581026,247867,-26.096546173095703
1673433973.967786,249543,-26.490304946899414
1673433989.8985856,250961,-25.771631240844727
1673434010.589801,252621,-25.785961151123047
1673434025.0420604,254074,-25.67013931274414
1673434040.8188887,255504,-24.79970359802246
1673434057.6962004,256725,-25.89173698425293
1673434075.3321517,258404,-25.30027198791504
1673434101.8849466,260655,-25.552265167236328
1673434116.5276394,262094,-25.228450775146484
1673434141.0841186,264107,-26.062177658081055
1673434155.9368727,265556,-27.35211944580078
1673434178.0150259,267196,-27.053258895874023
1673434211.4778976,270266,-25.044143676757812
1673434230.0779345,272264,-25.734418869018555
1673434249.0114021,273467,-25.871889114379883
1673434265.191867,274904,-25.102502822875977
1673434278.9326134,276106,-24.398788452148438
1673434297.1169462,277537,-24.316438674926758
1673434319.8271277,280019,-26.14836883544922
1673434341.871533,281463,-27.0819091796875
1673434357.8187342,282897,-27.123165130615234
1673434374.6828964,284906,-27.3320369720459
1673434402.4033494,286936,-27.95355987548828
1673434427.016183,288965,-27.73870849609375
1673434449.1222591,290997,-28.199663162231445
1673434465.518693,292430,-27.1707706451416
1673434483.136091,294461,-27.999963760375977
1673434513.8635886,296718,-28.478391647338867
1673434531.8369393,298145,-27.92051887512207
1673434551.7423682,300030,-27.66046905517578
1673434577.3818014,302281,-25.505752563476562
1673434592.022488,303469,-26.064208984375
1673434608.2097058,304900,-26.755250930786133
1673434633.0197132,307136,-26.466039657592773
1673434650.5761666,308569,-25.666412353515625
1673434666.8626928,310000,-24.05807876586914
1673434686.989689,312248,-23.761486053466797
1673434706.1494567,313454,-25.855697631835938
1673434719.5854864,314669,-27.20424461364746
1673434739.9948006,316928,-27.65195083618164
1673434767.091232,318834,-27.635034561157227
1673434787.6307003,320493,-28.057750701904297
1673434813.3575706,322750,-28.90509033203125
1673434829.9478993,324184,-29.701690673828125
1673434846.17577,325594,-28.752655029296875
1673434863.6195996,327619,-29.310495376586914
1673434887.1434274,329073,-29.530553817749023
1673434900.5017068,330265,-28.18115997314453
1673434913.6079762,331464,-29.102270126342773
1673434928.9592168,332902,-28.92673683166504
1673434944.8552117,334333,-29.752975463867188
1673434967.1499212,336366,-29.36445426940918
1673435002.8074787,339419,-28.353513717651367
1673435018.8596866,340860,-29.328536987304688
1673435032.973434,342079,-31.379287719726562
1673435049.3930137,343514,-32.34010314941406
1673435078.8451452,346585,-31.575605392456055
1673435101.0109088,348027,-30.783395767211914
1673435114.1140106,349195,-30.880556106567383
1673435129.2858005,350397,-32.27817153930664
1673435154.7884684,352652,-33.009151458740234
1673435178.7549138,354894,-33.76766586303711
1673435207.2630172,357378,-33.28184509277344
1673435237.1011765,359867,-31.481882095336914
1673435265.4804049,362691,-31.49071502685547
1673435285.1594987,363909,-32.03404235839844
1673435302.9851186,365582,-32.283836364746094
1673435319.600168,367017,-32.09336853027344
1673435343.9675283,369504,-31.36003875732422
1673435378.5629404,372329,-31.622055053710938
1673435398.980816,373770,-31.649518966674805
1673435414.3189929,374965,-31.39128303527832
1673435430.6176746,376381,-31.253450393676758
1673435444.097821,377586,-31.43262481689453
1673435478.247545,380418,-30.41972541809082
1673435491.5589607,381627,-29.909133911132812
